	Column	B_CD5	B_Memory	B_Naive	CD4_Central_Memory	CD4_Effector_Memory	CD4_Naive	CD4_Th1	CD4_Th17	CD4_Th2	CD4_Treg	CD8_Central_Memory	CD8_Effector	CD8_Naive	P-value	Pearson Correlation	RMSE	cohort	metric	processing	data_col	cohort_sample_id	incut_sample_id	cutname
10	10	0.0	0.393808023799251	0.03033347552055875	0.0	0.0	0.0	0.07137303219253953	0.05233295233847176	0.0	0.03364985442757611	0.0	0.2050246371354929	0.21347802458611	0.03	0.3534347972889018	0.9947387989484774	tcgakirc	counts	raw	est_counts	11	11	cut1
11	11	0.006307487223044135	0.3722312951220349	0.0	0.0	0.16215570494119322	0.0	0.21511711614199427	0.1055216190793574	0.0	0.02879859327643075	0.10986818421594538	0.0	0.0	0.09	0.26734251764755745	1.0455322792849349	tcgakirc	counts	raw	est_counts	12	12	cut1
12	12	0.3110971563834154	0.1823851886295562	0.0	0.0	0.01901349344699764	0.0	0.38656899830280617	0.0	0.06083066488426667	0.018277746796198417	0.0	0.0	0.02182675155675948	0.14	0.17772736720927615	1.0985629456612385	tcgakirc	counts	raw	est_counts	13	13	cut1
13	13	0.03015133737996968	0.4489047546975081	0.0	0.17347446125327776	0.0	0.028750767690790883	0.15250527183884127	0.0	0.027485449118470985	0.0	0.0	0.13872795802114138	0.0	0.03	0.3513469505579841	1.0096638772518942	tcgakirc	counts	raw	est_counts	14	14	cut1
14	14	0.15841550096098894	0.3516848739374596	0.0	0.08580863651686288	0.0	0.09560163531912813	0.1539251660300314	0.0	0.012013353285402293	0.0	0.0	0.14255083395012674	0.0	0.04	0.32035711612964324	1.0268701129757678	tcgakirc	counts	raw	est_counts	15	15	cut1
15	15	0.004480359239918013	0.42155931223487575	0.0	0.0	0.2601800725637617	0.0	0.3054078336418133	0.0	0.006031509824739212	0.002340912494891945	0.0	0.0	0.0	0.09	0.2493803962775412	1.0711247161721456	tcgakirc	counts	raw	est_counts	16	16	cut1
16	16	0.15332990904265664	0.009282813351746305	0.09272150472659672	0.1653961657382517	0.0	0.20379592324710652	0.0	0.0	0.008475283014936266	0.0095130594122319	0.0	0.35748534146647404	0.0	0.45	0.017353951405795872	1.1883590216039757	tcgakirc	counts	raw	est_counts	17	17	cut1
17	17	0.0	0.4540927750067576	0.0	0.03900446314489395	0.0	0.15571861585151486	0.06942625880657044	0.0	0.0047634835793490295	0.0	0.0	0.2769944036109141	0.0	0.03	0.3535425619580863	1.0135569191973712	tcgakirc	counts	raw	est_counts	18	18	cut1
18	18	0.06001670805983031	0.07437394364268769	0.0	0.0	0.2368289334256857	0.041798066100762206	0.5020396868722223	0.0	0.07590400984323381	0.009038652055578043	0.0	0.0	0.0	0.52	-0.0066475833085281105	1.2086354302985638	tcgakirc	counts	raw	est_counts	19	19	cut1
19	19	0.025201595891854472	0.4835291199622525	0.0	0.03408505721642236	0.09252243525104817	0.0	0.2922890698593379	0.0	0.041386857722848606	0.030985864096236108	0.0	0.0	0.0	0.04	0.3198716308843109	1.0461345382400753	tcgakirc	counts	raw	est_counts	20	20	cut1
20	20	0.2409420910809792	0.07060699718185565	0.0	0.0	0.10731207068688126	0.0	0.5266623689514183	0.0	0.0	0.0	0.0	0.0	0.05447647209886553	0.27	0.07536498131500527	1.1282308621977752	tcgakirc	counts	raw	est_counts	21	21	cut1
21	21	0.2285719650020197	0.2543838783447093	0.0	0.0	0.0	0.0	0.4076862302057128	0.0	0.053109105232626026	0.0	0.0	0.0	0.05624882121493206	0.04	0.307285472172426	1.0193858470875323	tcgakirc	counts	raw	est_counts	22	22	cut1
